,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
92,Toyota,Etios Liva,Vd,"Rs. 7,04,000",1364 cc,Diesel,Hatchback,20.3 km/litre,23.08 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
93,Toyota,Etios Liva,Dual Tone V,"Rs. 5,97,700",1197 cc,Petrol,Hatchback,15.1 km/litre,18.16 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
94,Toyota,Etios Liva,Dual Tone Vd,"Rs. 7,20,700",1364 cc,Diesel,Hatchback,20.3 km/litre,23.08 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
95,Toyota,Etios Liva,Dual Tone Vx,"Rs. 6,41,700",1197 cc,Petrol,Hatchback,15.1 km/litre,17.71 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
96,Toyota,Etios Liva,Dual Tone Vxd,"Rs. 7,56,700",1364 cc,Diesel,Hatchback,20.3 km/litre,23.08 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
97,Toyota,Etios Liva,Gx,"Rs. 5,58,400",1197 cc,Petrol,Hatchback,15.1 km/litre,17.71 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
98,Toyota,Etios Liva,Gxd,"Rs. 6,86,000",1364 cc,Diesel,Hatchback,20.3 km/litre,23.59 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
99,Toyota,Etios Liva,Vx Dual Tone Limited Edition,"Rs. 6,62,700",1197 cc,Petrol,Hatchback,15.1 km/litre,17.71 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,80PS@5600rpm,104Nm@3100rpm
100,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,"Rs. 7,77,700",1364 cc,Diesel,Hatchback,20.3 km/litre,23.08 km/litre,,March,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1475 kg,,,68PS@3800rpm,170Nm@1800-2400rpm
104,Tata,Bolt,Xt Diesel,"Rs. 7,87,980",1248 cc,Diesel,Hatchback,"22,95 km/litre",,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag",Manual,1160 kg,,,75PS@4000rpm,190Nm@1750-3000rpm
